name,index,day,middle,lower16,upper84,rep
gamma_1,NA,NA,1.1258472839681302,1.0765573033219789,1.1788195680111702,3
gamma_2,NA,NA,1.1747201425352567,1.1044985264247633,1.2397485039691682,3
k0,NA,NA,2.9786695688329194,1.5141790227141747,4.580735830943368,3
k1,NA,NA,0.3880682061913956,0.2889132401354447,0.47595321669416396,3
sig_beta0,NA,NA,0.04345010261867617,0.021815299613487077,0.06992431916862667,3
sig_alpha,NA,NA,0.058241231789285176,0.01952083186879457,0.10600879311833467,3
sig_rho,NA,NA,0.025318985745969927,0.00805459739460724,0.06090854046026798,3
sig_proc,NA,NA,113.18880200557132,110.88716546914614,115.49170844570571,3
o2,1,1,12596.181267775293,12589.370474796608,12603.461481278997,3
o2,2,1,12605.179887264787,12595.511850200704,12615.818929667006,3
o2,3,1,12568.478592901676,12557.468636067326,12578.254991853866,3
o2,4,1,12735.204386098456,12726.103019438582,12745.379584392746,3
o2,5,1,12697.118559295846,12687.775218303814,12707.678483583491,3
o2,6,1,12726.887602787785,12716.819896601919,12736.094602838613,3
o2,7,1,12756.324080200804,12745.871091216837,12766.048765731248,3
o2,8,1,12992.585160805314,12982.146610450867,13004.148646284808,3
o2,9,1,12866.646373038904,12855.465140629116,12876.992832625152,3
o2,10,1,13010.653673802175,13000.454440958163,13020.801413400088,3
o2,11,1,13045.0879759339,13034.78043207649,13054.960027516567,3
o2,12,1,13059.642400066346,13049.787781853523,13068.714818821934,3
o2,13,1,12988.705413957849,12978.49680954803,12999.12616279226,3
o2,14,1,13184.77835516098,13174.634422862388,13194.554548958018,3
o2,15,1,13142.95223559995,13133.416589106753,13151.772735947143,3
o2,16,1,13107.273194599795,13096.47578364451,13118.120626951668,3
o2,17,1,13096.132065502083,13086.42231728492,13106.045474151062,3
o2,18,1,12936.845189432493,12928.02775440002,12946.321688487158,3
o2,19,1,12929.705330504046,12918.430987970627,12940.541452206224,3
o2,20,1,12870.837925405755,12861.0628451282,12880.0612974611,3
o2,21,1,12736.084793746202,12725.40686078966,12746.797477633067,3
o2,22,1,12780.939209603002,12772.610586916018,12789.961344819338,3
o2,23,1,12822.58517570511,12812.353416365064,12832.45965621169,3
o2,24,1,13030.541991560072,13021.488840239703,13039.065737479015,3
o2,25,2,13102.67779816049,13091.572243719282,13112.144423686508,3
o2,26,2,13037.150019744078,13028.274183660185,13047.193040155076,3
o2,27,2,13140.824932178475,13130.475546092288,13150.06735010925,3
o2,28,2,12962.654023250729,12951.792139447074,12974.0247727083,3
o2,29,2,12869.148416760545,12859.47098460184,12878.223582750416,3
