name,index,day,middle,lower16,upper84,rep
gamma_1,NA,NA,1.1673429574875636,1.1140287011301382,1.2291863532999994,4
gamma_2,NA,NA,1.09761764521719,1.0437646884933542,1.160438384450738,4
k0,NA,NA,3.7624298060625616,1.8847860409446,5.6180119154871235,4
k1,NA,NA,0.44312209521334656,0.3298127824883257,0.5517953105435418,4
sig_beta0,NA,NA,0.06788536557008742,0.044205263642781774,0.09717586712025537,4
sig_alpha,NA,NA,0.05415500523976526,0.016692373118429436,0.11240385589690775,4
sig_rho,NA,NA,0.03425362270723322,0.011330129489077466,0.07700775328155395,4
sig_proc,NA,NA,118.47587502822813,116.25681711113687,120.81931536651693,4
o2,1,1,12596.887848164086,12590.42129668856,12603.429413733735,4
o2,2,1,12540.558447011183,12530.867437328534,12551.428483492558,4
o2,3,1,12627.009408886577,12616.892097837612,12635.7485508149,4
o2,4,1,12563.994723682925,12553.048200023884,12573.446420622153,4
o2,5,1,12673.03772583323,12662.218497081361,12682.183142541106,4
o2,6,1,12584.928541882779,12574.683137052423,12593.700472774639,4
o2,7,1,12687.31556621933,12678.457378507122,12695.793931993623,4
o2,8,1,12761.25497312662,12752.090255614272,12771.475632382586,4
o2,9,1,12669.166131194961,12659.179782238567,12679.581756456737,4
o2,10,1,12517.92913700402,12507.864127344872,12527.386873270623,4
o2,11,1,12533.530934760049,12523.148826478788,12542.941969825353,4
o2,12,1,12427.012464777456,12416.564672017174,12436.197495818187,4
o2,13,1,12243.309296776584,12231.812328755725,12253.525769077001,4
o2,14,1,12310.25125736236,12300.389692571922,12319.51150223825,4
o2,15,1,12528.16066207255,12518.525497965406,12537.585803816242,4
o2,16,1,12385.720503545283,12376.598089980898,12396.571144640888,4
o2,17,1,12473.173338272798,12463.312611720972,12483.259752116648,4
o2,18,1,12462.817282065138,12453.49493006738,12472.534599302822,4
o2,19,1,12495.386660788565,12485.601742223469,12503.859505822957,4
o2,20,1,12527.972210194743,12519.587840950166,12538.418426093942,4
o2,21,1,12533.67041906674,12524.328895407662,12542.621534494378,4
o2,22,1,12639.274850893515,12629.091935378023,12648.986653845617,4
o2,23,1,12821.663288684571,12811.941432402065,12832.59077183625,4
o2,24,1,12652.36467865484,12643.929312644092,12661.63962364609,4
